Pt,Pd,Au,Ir,k,V0,u1,s1,A1,A2,File
0.1472,0.2485,0.3952,0.2091,11.330358308070617,1.6905487138523534,1.3549329956847447,0.10559970993216954,0.08531618698442911,0.014228760493991854,run9-2-spot10.DTA.csv
0.1189,0.2495,0.3333,0.2983,9.287668061683528,1.6929884806232596,1.3957335171662117,0.11388773013152349,0.07651287257956471,0.01738467609873048,run9-2-spot11.DTA.csv
0.0875,0.2336,0.2712,0.4077,8.76060712667597,1.6992881398223978,1.446286429046376,0.1406579551918561,0.06960080119328557,0.022375406680502183,run9-2-spot12.DTA.csv
0.5202,0.203,0.2568,0.0199,12.081867518109865,1.7515954249269527,1.22551440460746,0.07356544437131171,0.07847138476285313,0.005270609800967464,run9-2-spot13.DTA.csv
0.3991,0.2076,0.3451,0.0482,12.167855976085793,1.761452826352028,1.2267257378175012,0.07720400795982849,0.08484633557771451,0.00474259733561538,run9-2-spot14.DTA.csv
0.2945,0.1966,0.4287,0.0802,12.495905599484058,1.7519610045635816,1.2429035697123234,0.09197202725698692,0.08302025612952449,0.00384850665119673,run9-2-spot15.DTA.csv
0.2084,0.1914,0.4746,0.1256,11.83771670551732,1.7410725039693824,1.324017162716967,0.07395872436010122,0.08384323777087203,0.004353707283229122,run9-2-spot16.DTA.csv
0.2331,0.3578,0.3196,0.0895,12.056109891486871,1.7149100729959152,1.3347114026761446,0.11544842536762306,0.0735263573076759,0.009731318950552327,run9-2-spot17-2.DTA.csv
0.1589,0.189,0.4596,0.1924,11.168880202590202,1.7023141425010087,1.3585782678415792,0.07478305683167387,0.07650693806735412,0.010650892802002189,run9-2-spot17.DTA.csv
0.129,0.1878,0.3963,0.2869,9.667597960071957,1.7069842521797631,1.3787137554279942,0.08916106778865025,0.07002310220017659,0.013241343104217908,run9-2-spot18.DTA.csv
0.1015,0.1821,0.3193,0.3972,9.391879631205981,1.6635694409333466,1.424917327900306,0.11575476326299697,0.06204129447583459,0.018278824761250458,run9-2-spot19.DTA.csv
0.2331,0.3578,0.3196,0.0895,12.302532006745864,1.7203511038418784,1.2472597343138105,0.09451633930164818,0.08043966925420565,0.007136332453490649,run9-2-spot2.DTA.csv
0.571,0.1548,0.2559,0.0183,11.31401598503537,1.7765915415345497,1.2262568872946429,0.07303335968625177,0.08039502287854745,0.002943753975911627,run9-2-spot20.DTA.csv
0.4437,0.1496,0.3574,0.0492,11.713386514005666,1.7706598037490298,1.2341719826181718,0.07464443078936454,0.0791698117349762,0.002583549742505901,run9-2-spot21.DTA.csv
0.3275,0.151,0.4458,0.0758,12.19873022977151,1.7553171341204696,1.2679585175407262,0.09275610146899153,0.06848001139483458,0.0017425029881869406,run9-2-spot22.DTA.csv
0.2299,0.1456,0.5111,0.1135,12.465372352250208,1.761025125364015,1.3237082794832276,0.06795148930583556,0.08139371330596394,0.0025575919147345066,run9-2-spot23.DTA.csv
0.1721,0.1389,0.5193,0.1697,11.661896151005271,1.7338582832065181,1.3545809222577316,0.053786229812744994,0.061237392012962334,0.004391862985410964,run9-2-spot24.DTA.csv
